2012-11-19: Total users: 6364, Non-zero FROM: 483, Geocoded(active): 357(188), Cities(active): 103(70)
2012-11-20: Total users: 6371, Non-zero FROM: 484, Geocoded(active): 359(190), Cities(active): 104(71)
2012-11-21: Total users: 6379, Non-zero FROM: 488, Geocoded(active): 365(196), Cities(active): 106(74)
2012-11-22: Total users: 6385, Non-zero FROM: 489, Geocoded(active): 366(197), Cities(active): 106(74)
2012-11-23: Total users: 6392, Non-zero FROM: 493, Geocoded(active): 368(199), Cities(active): 106(74)
2012-11-24: Total users: 6399, Non-zero FROM: 492, Geocoded(active): 368(199), Cities(active): 106(74)
2012-11-25: Total users: 6401, Non-zero FROM: 492, Geocoded(active): 368(199), Cities(active): 106(74)
2012-11-26: Total users: 6403, Non-zero FROM: 491, Geocoded(active): 368(199), Cities(active): 106(74)
2012-11-27: Total users: 6410, Non-zero FROM: 491, Geocoded(active): 368(198), Cities(active): 106(74)
2012-11-28: Total users: 6417, Non-zero FROM: 492, Geocoded(active): 369(199), Cities(active): 106(74)
2012-11-29: Total users: 6423, Non-zero FROM: 492, Geocoded(active): 369(199), Cities(active): 106(74)
2012-11-30: Total users: 6428, Non-zero FROM: 493, Geocoded(active): 368(199), Cities(active): 106(74)
2012-12-01: Total users: 6433, Non-zero FROM: 493, Geocoded(active): 368(199), Cities(active): 106(74)
2012-12-02: Total users: 6437, Non-zero FROM: 493, Geocoded(active): 369(199), Cities(active): 107(75)
2012-12-03: Total users: 6445, Non-zero FROM: 493, Geocoded(active): 369(199), Cities(active): 107(75)
2012-12-04: Total users: 6453, Non-zero FROM: 493, Geocoded(active): 369(199), Cities(active): 107(75)
2012-12-05: Total users: 6463, Non-zero FROM: 493, Geocoded(active): 369(199), Cities(active): 107(75)
2012-12-06: Total users: 6468, Non-zero FROM: 493, Geocoded(active): 369(198), Cities(active): 107(75)
2012-12-07: Total users: 6472, Non-zero FROM: 493, Geocoded(active): 369(198), Cities(active): 107(75)
2012-12-08: Total users: 6481, Non-zero FROM: 493, Geocoded(active): 369(198), Cities(active): 107(75)
2012-12-09: Total users: 6482, Non-zero FROM: 493, Geocoded(active): 369(199), Cities(active): 107(75)
2012-12-10: Total users: 6486, Non-zero FROM: 493, Geocoded(active): 369(199), Cities(active): 107(75)
2012-12-11: Total users: 6491, Non-zero FROM: 493, Geocoded(active): 369(199), Cities(active): 107(75)
2012-12-12: Total users: 6498, Non-zero FROM: 493, Geocoded(active): 369(199), Cities(active): 107(75)
2012-12-13: Total users: 6501, Non-zero FROM: 494, Geocoded(active): 370(200), Cities(active): 107(75)
2012-12-14: Total users: 6504, Non-zero FROM: 494, Geocoded(active): 370(200), Cities(active): 107(75)
